1; 51.102021; 17.076698; 2;
2; 51.103314; 17.075875; 1,3,40;
3; 51.104149; 17.073492; 2,4,34;
4; 51.104358; 17.073156; 3,33,5,15
5; 51.103873; 17.072217; 4,6,14;
6; 51.104236; 17.071232; 5,7,13;
7; 51.103847; 17.070618; 6,8;
8; 51.104512; 17.069459; 7,9,10;
9; 51.104645; 17.069610; 8,12;
10; 51.104534; 17.069731; 8.11.13;
11; 51.105503; 17.069988; 10,12;
12; 51.106021; 17.069928; 9,11,20;
13; 51.104733; 17.071200; 6,10,20,14;
14; 51.104807; 17.071934; 5,13,15,16;
15; 51.104968; 17.072660; 4,14,17,31;
16; 51.104992; 17.071977; 14,17,19;
17; 51.105304; 17.072516; 15,16,18;
18; 51.105572; 17.072476; 17,19,28;
19; 51.105587; 17.071615; 16,18,20,21;
20; 51.105663; 17.070955; 13,12,21,19;
21; 51.106109; 17.071119; 19,20,22,23;
22; 51.106421; 17.071347;  21,23,28
23; 51.106938; 17.071395; 22,21,24;
24; 51.107231; 17.071524; 23,25,26;
25; 51.107388; 17.071658; 25;
26; 51.107354; 17.070207; 24,27;
27; 51.106914; 17.069999; 26;
28; 51.106198; 17.072657; 18,22,29;
29; 51.106382; 17.073387; 28,30;
30; 51.106111; 17.074074; 29,31;
31; 51.105631; 17.073696; 30,32,15;
32; 51.105471; 17.074131; 31,33;
33; 51.105321; 17.074013; 4,34,32;
34; 51.105158; 17.074507; 35,33,3;
35; 51.105798; 17.075069; 34,36;
36; 51.105077; 17.077204; 35,37,39;
37; 51.104457; 17.078893; 36,38;
38; 51.104154; 17.077327; 39,37;
39; 51.104425; 17.076589; 38,36,34,40;
40; 51.103426; 17.075725; 2,39;
 
